"filename","line_of_code"
"iter1 - Claude4.5_prompt_1_SavingsWallet_slither_report_1.txt","70"
"iter1 - Claude4.5_prompt_10_StakingContract_slither_report_1.txt","259"
"iter1 - Claude4.5_prompt_11_SubscriptionSystem_slither_report_1.txt","244"
"iter1 - Claude4.5_prompt_12_FeedbackSystem_slither_report_1.txt","233"
"iter1 - Claude4.5_prompt_13_CharityDonationTracker_slither_report_1.txt","316"
"iter1 - Claude4.5_prompt_14_TokenFaucet_slither_report_1.txt","210"
"iter1 - Claude4.5_prompt_15_EvenDistributor_slither_report_1.txt","156"
"iter1 - Claude4.5_prompt_16_EscrowSystem_slither_report_1.txt","288"
"iter1 - Claude4.5_prompt_17_Raffle_slither_report_1.txt","274"
"iter1 - Claude4.5_prompt_18_JobBoard_slither_report_1.txt","313"
"iter1 - Claude4.5_prompt_19_ToDoList_slither_report_1.txt","266"
"iter1 - Claude4.5_prompt_2_NameRegistry_slither_report_1.txt","129"
"iter1 - Claude4.5_prompt_20_PropertyRegistry_slither_report_1.txt","281"
"iter1 - Claude4.5_prompt_21_EventAttendance_slither_report_1.txt","308"
"iter1 - Claude4.5_prompt_22_TokenAirdrop_slither_report_1.txt","308"
"iter1 - Claude4.5_prompt_23_TipJar_slither_report_1.txt","327"
"iter1 - Claude4.5_prompt_24_VotingAccessControl_slither_report_1.txt","372"
"iter1 - Claude4.5_prompt_25_DecentralizedNameService_slither_report_1.txt","287"
"iter1 - Claude4.5_prompt_26_RecurringPaymentSystem_slither_report_1.txt","308"
"iter1 - Claude4.5_prompt_27_NFTCertificateSystem_slither_report_1.txt","375"
"iter1 - Claude4.5_prompt_28_ReputationSystem_slither_report_1.txt","384"
"iter1 - Claude4.5_prompt_29_EncryptedDataStorage_slither_report_1.txt","428"
"iter1 - Claude4.5_prompt_3_Crowdfunding_slither_report_1.txt","133"
"iter1 - Claude4.5_prompt_30_TimeBasedAuction_slither_report_1.txt","433"
"iter1 - Claude4.5_prompt_31_DepositWithdrawalFee_slither_report_1.txt","344"
"iter1 - Claude4.5_prompt_32_TaskRewardSystem_slither_report_1.txt","461"
"iter1 - Claude4.5_prompt_33_CommunityProposalSystem_slither_report_1.txt","537"
"iter1 - Claude4.5_prompt_34_OnChainMessaging_slither_report_1.txt","425"
"iter1 - Claude4.5_prompt_35_PausableETHTransfer_slither_report_1.txt","333"
"iter1 - Claude4.5_prompt_4_TokenVesting_slither_report_1.txt","211"
"iter1 - Claude4.5_prompt_5_Marketplace_slither_report_1.txt","194"
"iter1 - Claude4.5_prompt_6_LikeTracker_slither_report_1.txt","103"
"iter1 - Claude4.5_prompt_7_VotingSystem_slither_report_1.txt","207"
"iter1 - Claude4.5_prompt_8_MessageBoard_slither_report_1.txt","151"
"iter1 - Claude4.5_prompt_9_LoyaltyPoints_slither_report_1.txt","189"
"iter1 - Gemini2.5_prompt_1_SavingsWallet_slither_report_1.txt","18"
"iter1 - Gemini2.5_prompt_10_EthTimeLock_slither_report_1.txt","41"
"iter1 - Gemini2.5_prompt_11_Subscription_slither_report_1.txt","47"
"iter1 - Gemini2.5_prompt_12_Feedback_slither_report_1.txt","31"
"iter1 - Gemini2.5_prompt_13_DonationTracker_slither_report_1.txt","41"
"iter1 - Gemini2.5_prompt_14_TokenFaucet_slither_report_1.txt","39"
"iter1 - Gemini2.5_prompt_15_Distributor_slither_report_1.txt","36"
"iter1 - Gemini2.5_prompt_16_Escrow_slither_report_1.txt","58"
"iter1 - Gemini2.5_prompt_17_Raffle_slither_report_1.txt","46"
"iter1 - Gemini2.5_prompt_18_JobBoard_slither_report_1.txt","60"
"iter1 - Gemini2.5_prompt_19_TodoList_slither_report_1.txt","31"
"iter1 - Gemini2.5_prompt_2_NameRegistry_slither_report_1.txt","26"
"iter1 - Gemini2.5_prompt_20_PropertyRegistry_slither_report_1.txt","48"
"iter1 - Gemini2.5_prompt_21_AttendanceLogger_slither_report_1.txt","33"
"iter1 - Gemini2.5_prompt_22_Airdrop_slither_report_1.txt","43"
"iter1 - Gemini2.5_prompt_23_TipJar_slither_report_1.txt","23"
"iter1 - Gemini2.5_prompt_24_AdminVoting_slither_report_1.txt","100"
"iter1 - Gemini2.5_prompt_25_NameService_slither_report_1.txt","34"
"iter1 - Gemini2.5_prompt_26_RecurringPayments_slither_report_1.txt","69"
"iter1 - Gemini2.5_prompt_27_DigitalCertificate_slither_report_1.txt","54"
"iter1 - Gemini2.5_prompt_28_ReputationSystem_slither_report_1.txt","25"
"iter1 - Gemini2.5_prompt_29_DataStore_slither_report_1.txt","35"
"iter1 - Gemini2.5_prompt_3_Crowdfunding_slither_report_1.txt","42"
"iter1 - Gemini2.5_prompt_30_TimeBasedAuction_slither_report_1.txt","56"
"iter1 - Gemini2.5_prompt_31_DepositWithFee_slither_report_1.txt","43"
"iter1 - Gemini2.5_prompt_32_TaskReward_slither_report_1.txt","58"
"iter1 - Gemini2.5_prompt_33_CommunityProposals_slither_report_1.txt","72"
"iter1 - Gemini2.5_prompt_34_Messaging_slither_report_1.txt","36"
"iter1 - Gemini2.5_prompt_35_PausableEtherTransfer_slither_report_1.txt","85"
"iter1 - Gemini2.5_prompt_4_TokenVesting_slither_report_1.txt","46"
"iter1 - Gemini2.5_prompt_5_Marketplace_slither_report_1.txt","52"
"iter1 - Gemini2.5_prompt_6_LikeTracker_slither_report_1.txt","17"
"iter1 - Gemini2.5_prompt_7_VotingSystem_slither_report_1.txt","37"
"iter1 - Gemini2.5_prompt_8_MessageBoard_slither_report_1.txt","24"
"iter1 - Gemini2.5_prompt_9_LoyaltyPoints_slither_report_1.txt","23"
"iter1 - GPT4_prompt_1_SavingsWallet_slither_report_1.txt","31"
"iter1 - GPT4_prompt_10_EthLocker_slither_report_1.txt","35"
"iter1 - GPT4_prompt_11_Subscription_slither_report_1.txt","34"
"iter1 - GPT4_prompt_12_Feedback_slither_report_1.txt","24"
"iter1 - GPT4_prompt_13_CharityDonation_slither_report_1.txt","26"
"iter1 - GPT4_prompt_14_TokenFaucet_slither_report_1.txt","21"
"iter1 - GPT4_prompt_15_EthDistributor_slither_report_1.txt","23"
"iter1 - GPT4_prompt_16_Escrow_slither_report_1.txt","41"
"iter1 - GPT4_prompt_17_Raffle_slither_report_1.txt","47"
"iter1 - GPT4_prompt_18_JobBoard_slither_report_1.txt","44"
"iter1 - GPT4_prompt_19_ToDoList_slither_report_1.txt","33"
