prompt,category
prompt_1,defi
prompt_2,registry-identity 
prompt_3,defi
prompt_4,token-manage
prompt_5,marketplace
prompt_6,communication
prompt_7,gov-voting
prompt_8,communication
prompt_9,token-manages
prompt_10,defi
prompt_11,defi
prompt_12,communication
prompt_13,defi
prompt_14,token-manage
prompt_15,defi
prompt_16,defi
prompt_17,marketplace
prompt_18,marketplace
prompt_19,utility
prompt_20,registry-identity
prompt_21,utility
prompt_22,token-manage
prompt_23,defi
prompt_24,gov-voting
prompt_25,registry-identity
prompt_26,defi
prompt_27,token-manage
prompt_28,communication
prompt_29,registry-identity
prompt_30,marketplace
prompt_31,defi
prompt_32,utility
prompt_33,gov-voting
prompt_34,communication
prompt_35,utility
